  - 65 Valid Number  11.9% Hard
  - 126 Word Ladder II  13.5% Hard
  - ~~149 Max Points on a Line  14.0% Hard~~
  - 146 LRU Cache  15.7% Hard
  - 68 Text Justification  15.8% Hard
  - 44 Wildcard Matching  17.0% Hard
  - 4 Median of Two Sorted Arrays  18.2% Hard
  - 212 Word Search II  18.6% Hard
  - 214 Shortest Palindrome  19.1% Hard
  - 140 Word Break II  19.3% Hard
  - 321 Create Maximum Number  19.7% Hard
  - 174 Dungeon Game  20.4% Hard
  - 30 Substring with Concatenation of All Words  20.5% Hard
  - 76 Minimum Window Substring  20.7% Hard
  - 218 The Skyline Problem  21.2% Hard
  - 132 Palindrome Partitioning II  21.4% Hard
  - 295 Find Median from Data Stream  21.5% Hard
  - 188 Best Time to Buy and Sell Stock IV  21.6% Hard
  - 10 Regular Expression Matching  21.7% Hard
  - 135 Candy  22.0% Hard
  - 97 Interleaving String  22.1% Hard
  - 32 Longest Valid Parentheses  22.2% Hard
  - 23 Merge k Sorted Lists  22.9% Hard
  - 124 Binary Tree Maximum Path Sum  23.0% Hard
  - 85 Maximal Rectangle  23.1% Hard
  - 57 Insert Interval  23.3% Hard
  - 41 First Missing Positive  23.6% Hard
  - 282 Expression Add Operators  23.7% Hard (******)
  - 84 Largest Rectangle in Histogram  23.8% Hard
  - 327 Count of Range Sum  24.3% Hard
  - 37 Sudoku Solver  24.3% Hard
  - 56 Merge Intervals  24.7% Hard
  - ~~45 Jump Game II  25.0% Hard~~
  - 123 Best Time to Buy and Sell Stock III  25.8% Hard
  - 138 Copy List with Random Pointer  25.9% Hard
  - 99 Recover Binary Search Tree  25.9% Hard
  - 87 Scramble String  26.1% Hard
  - 164 Maximum Gap  26.2% Hard
  - ~~51 N-Queens  26.2% Hard~~
  - 239 Sliding Window Maximum  26.4% Hard
  - ~~25 Reverse Nodes in k-Group  27.0% Hard~~
  - 72 Edit Distance  28.1% Hard
  - 115 Distinct Subsequences  28.4% Hard
  - 315 Count of Smaller Numbers After Self  29.0% Hard
  - 33 Search in Rotated Sorted Array  30.0% Hard
  - 301 Remove Invalid Parentheses  31.1% Hard
  - 128 Longest Consecutive Sequence  31.6% Hard
  - 42 Trapping Rain Water  31.8% Hard
  - ~~117 Populating Next Right Pointers in Each Node II  32.7% Hard~~
  - 154 Find Minimum in Rotated Sorted Array II  33.9% Hard
  - 312 Burst Balloons  34.7% Hard
  - 145 Binary Tree Postorder Traversal  34.8% Hard
  - 287 Find the Duplicate Number  38.0% Hard
  - ~~52 N-Queens II  38.6% Hard~~
  - 166 Fraction to Recurring Decimal  14.7% Medium
  - 29 Divide Two Integers  15.5% Medium
  - 151 Reverse Words in a String  15.6% Medium
  - ~~130 Surrounded Regions  15.8% Medium~~
  - 307 Range Sum Query - Mutable  16.9% Medium
  - 335 Self Crossing  17.2% Medium
  - 91 Decode Ways  17.3% Medium
  - 273 Integer to English Words  18.2% Medium
  - 220 Contains Duplicate III  18.2% Medium
  - *?179 Largest Number  18.4% Medium*
  - 15 3Sum  18.4% Medium
  - 127 Word Ladder  19.6% Medium
  - 211 Add and Search Word - Data structure design  20.2% Medium
  - 210 Course Schedule II  20.8% Medium
  - 98 Validate Binary Search Tree  20.8% Medium
  - 224 Basic Calculator  21.3% Medium
  - ~~324 Wiggle Sort II  21.5% Medium~~
  - 71 Simplify Path  21.5% Medium
  - 3 Longest Substring Without Repeating Characters  21.6% Medium
  - ~~1 Two Sum  21.6% Medium~~
  - 152 Maximum Product Subarray  21.7% Medium
  - 304 Range Sum Query 2D - Immutable  21.9% Medium
  - 54 Spiral Matrix  22.1% Medium
  - 143 Reorder List  22.4% Medium
  - 79 Word Search  22.4% Medium
  - 2 Add Two Numbers  22.4% Medium
  - 61 Rotate List  22.6% Medium
  - 5 Longest Palindromic Substring  22.6% Medium
  - 93 Restore IP Addresses  22.9% Medium
  - 43 Multiply Strings  22.9% Medium
  - 332 Reconstruct Itinerary  23.0% Medium
  - 221 Maximal Square  23.0% Medium
  - 150 Evaluate Reverse Polish Notation  23.1% Medium
  - 18 4Sum  23.3% Medium
  - 233 Number of Digit One  23.9% Medium
  - 316 Remove Duplicate Letters  24.0% Medium
  - 227 Basic Calculator II  24.0% Medium
  - 222 Count Complete Tree Nodes  24.3% Medium
  - 187 Repeated DNA Sequences  24.3% Medium
  - 148 Sort List  24.3% Medium
  - 322 Coin Change  24.5% Medium
  - 139 Word Break  24.7% Medium
  - 133 Clone Graph  24.7% Medium
  - 60 Permutation Sequence  24.7% Medium
  - 69 Sqrt(x)  24.9% Medium
  - 306 Additive Number  25.0% Medium
  - 229 Majority Element II  25.2% Medium
  - 208 Implement Trie (Prefix Tree)  25.2% Medium
  - 207 Course Schedule  26.1% Medium
  - 31 Next Permutation  26.1% Medium
  - 209 Minimum Size Subarray Sum  26.2% Medium
  - 310 Minimum Height Trees  26.3% Medium
  - 82 Remove Duplicates from Sorted List II  26.5% Medium
  - 49 Group Anagrams  26.7% Medium
  - 264 Ugly Number II  26.8% Medium
  - 297 Serialize and Deserialize Binary Tree  26.9% Medium
  - 200 Number of Islands  26.9% Medium
  - 134 Gas Station  27.0% Medium
  - 40 Combination Sum II  27.1% Medium
  - 92 Reverse Linked List II  27.4% Medium
  - 131 Palindrome Partitioning  27.5% Medium
  - 47 Permutations II  27.5% Medium
  - 113 Path Sum II  27.9% Medium
  - 50 Pow(x, n)  27.9% Medium
  - ~~55 Jump Game  28.0% Medium~~
  - 17 Letter Combinations of a Phone Number  28.0% Medium
  - 105 Construct Binary Tree from Preorder and Inorder Traversal  28.1% Medium
  - 103 Binary Tree Zigzag Level Order Traversal  28.1% Medium
  - 330 Patching Array  28.3% Medium
  - 106 Construct Binary Tree from Inorder and Postorder Traversal  28.6% Medium
  - 16 3Sum Closest  28.6% Medium
  - 236 Lowest Common Ancestor of a Binary Tree  28.7% Medium
  - 34 Search for a Range  28.7% Medium
  - 274 H-Index  28.8% Medium
  - 147 Insertion Sort List  28.8% Medium
  - 95 Unique Binary Search Trees II  28.8% Medium
  - 86 Partition List  29.0% Medium
